ORDERNUMBER,QUANTITY ORDERED,PRICE EACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10329.00,20.00,100.00,2.00,3176.00,11/15/2004 0:00,Shipped,4.00,11.00,2004.00,Motorcycles,118.00,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium
10339.00,40.00,68.92,4.00,2756.80,11/23/2004 0:00,Shipped,4.00,11.00,2004.00,Motorcycles,118.00,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small
10361.00,26.00,51.15,8.00,1329.90,12/17/2004 0:00,Shipped,4.00,12.00,2004.00,Motorcycles,118.00,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small
10374.00,39.00,100.00,5.00,5288.01,2/2/2005 0:00,Shipped,1.00,2.00,2005.00,Motorcycles,118.00,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium
10388.00,50.00,44.51,5.00,2225.50,3/3/2005 0:00,Shipped,1.00,3.00,2005.00,Motorcycles,118.00,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Small
10402.00,45.00,100.00,1.00,5833.80,4/7/2005 0:00,Shipped,2.00,4.00,2005.00,Motorcycles,118.00,S10_2016,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,Medium
10417.00,45.00,100.00,5.00,5887.35,5/13/2005 0:00,Disputed,2.00,5.00,2005.00,Motorcycles,118.00,S10_2016,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium
10107.00,27.00,100.00,4.00,6065.55,2/24/2003 0:00,Shipped,1.00,2.00,2003.00,Motorcycles,193.00,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium
10120.00,46.00,100.00,2.00,9264.86,4/29/2003 0:00,Shipped,2.00,4.00,2003.00,Motorcycles,193.00,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large
10134.00,31.00,100.00,4.00,7023.98,7/1/2003 0:00,Shipped,3.00,7.00,2003.00,Motorcycles,193.00,S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Large
10145.00,33.00,100.00,8.00,5176.38,8/25/2003 0:00,Shipped,3.00,8.00,2003.00,Motorcycles,193.00,S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie,Medium
10159.00,22.00,100.00,16.00,4132.70,10/10/2003 0:00,Shipped,4.00,10.00,2003.00,Motorcycles,193.00,S10_4698,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Medium
10168.00,20.00,100.00,3.00,4183.00,10/28/2003 0:00,Shipped,4.00,10.00,2003.00,Motorcycles,193.00,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium
10180.00,41.00,100.00,11.00,8892.90,11/11/2003 0:00,Shipped,4.00,11.00,2003.00,Motorcycles,193.00,S10_4698,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Large
10188.00,45.00,100.00,3.00,8714.70,11/18/2003 0:00,Shipped,4.00,11.00,2003.00,Motorcycles,193.00,S10_4698,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Large
10201.00,49.00,100.00,4.00,8065.89,12/1/2003 0:00,Shipped,4.00,12.00,2003.00,Motorcycles,193.00,S10_4698,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Large
10210.00,34.00,100.00,1.00,6123.40,1/12/2004 0:00,Shipped,1.00,1.00,2004.00,Motorcycles,193.00,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium
10223.00,49.00,100.00,3.00,9774.03,2/20/2004 0:00,Shipped,1.00,2.00,2004.00,Motorcycles,193.00,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large
10237.00,39.00,100.00,9.00,7023.90,4/5/2004 0:00,Shipped,2.00,4.00,2004.00,Motorcycles,193.00,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA,Frick,Michael,Large
10251.00,43.00,100.00,4.00,7078.23,5/18/2004 0:00,Shipped,2.00,5.00,2004.00,Motorcycles,193.00,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William,Large
10263.00,41.00,100.00,4.00,8336.94,6/28/2004 0:00,Shipped,2.00,6.00,2004.00,Motorcycles,193.00,S10_4698,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie,Large
10275.00,36.00,100.00,3.00,6901.92,7/23/2004 0:00,Shipped,3.00,7.00,2004.00,Motorcycles,193.00,S10_4698,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Medium
10285.00,27.00,100.00,8.00,5438.07,8/27/2004 0:00,Shipped,3.00,8.00,2004.00,Motorcycles,193.00,S10_4698,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium
10299.00,29.00,100.00,11.00,6683.34,9/30/2004 0:00,Shipped,3.00,9.00,2004.00,Motorcycles,193.00,S10_4698,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Medium
10308.00,20.00,100.00,1.00,4570.40,10/15/2004 0:00,Shipped,4.00,10.00,2004.00,Motorcycles,193.00,S10_4698,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,NA,Frick,Steve,Medium
10318.00,37.00,100.00,3.00,7667.14,11/2/2004 0:00,Shipped,4.00,11.00,2004.00,Motorcycles,193.00,S10_4698,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung,Large
10329.00,26.00,100.00,3.00,5868.20,11/15/2004 0:00,Shipped,4.00,11.00,2004.00,Motorcycles,193.00,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium
10339.00,39.00,76.67,3.00,2990.13,11/23/2004 0:00,Shipped,4.00,11.00,2004.00,Motorcycles,193.00,S10_4698,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small
10362.00,22.00,100.00,4.00,3664.10,1/5/2005 0:00,Shipped,1.00,1.00,2005.00,Motorcycles,193.00,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium
